SongNames,ReleaseYear,NewOld,StyleGroup
BlueOrchid,2005,New,HardRock
GoldOnTheCeiling,2010,New,HardRock
GoodTimesBadTimes,1969,Old,HardRock
Bitch,1971,Old,HardRock
SaveYourTears,2020,New,SynthPop
87Stingray,2021,New,SynthPop
ThatWasYesterday,1985,Old,SynthPop
CryWolf,1987,Old,SynthPop
Touch,2016,New,Disco
TakeBackTheNight,2013,New,Disco
YouShouldBeDancing,1976,Old,Disco
Fantasy,1978,Old,Disco
TearsDryOnTheirOwn,2006,New,Soul
TroubleSleeping,2006,New,Soul
HoneyLove,1969,Old,Soul
ICantSeeMyselfLeavingYou,1969,Old,Soul
